2026-07-30 17:54:55 WARNING  | DexSniper            | AI client disabled — no valid API key.
2026-07-30 17:54:56 INFO     | DexSniper            | Connected to chain 56 via https://bsc-dataseed.binance.org...
2026-07-30 17:54:56 INFO     | DexSniper            | Factory contract loaded: 0xcA143Ce3...
2026-07-30 17:54:56 INFO     | DexSniper            | =======================================================
2026-07-30 17:54:56 INFO     | DexSniper            | 🚀 DEX Sniper STARTED
2026-07-30 17:54:56 INFO     | DexSniper            |    Chain: BSC
2026-07-30 17:54:56 INFO     | DexSniper            |    Factory: 0xcA143Ce32Fe78...
2026-07-30 17:54:56 INFO     | DexSniper            |    Buy amount: 0.05 BSC
2026-07-30 17:54:56 INFO     | DexSniper            |    TP: 20.00%
2026-07-30 17:54:56 INFO     | DexSniper            |    AI scam filter: ON
2026-07-30 17:54:56 INFO     | DexSniper            | =======================================================
2026-07-30 17:54:56 ERROR    | DexSniper            | Error fetching events: ContractEvent.get_logs() got an unexpected keyword argument 'fromBlock'
2026-07-30 17:54:56 INFO     | DexSniper            | ==================================================
2026-07-30 17:54:56 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-30 17:54:56 INFO     | DexSniper            |   Runtime: 0:00:00.225990
2026-07-30 17:54:56 INFO     | DexSniper            |   Pairs detected: 0
2026-07-30 17:54:56 INFO     | DexSniper            |   Scams filtered: 0
2026-07-30 17:54:56 INFO     | DexSniper            |   Trades executed: 0
2026-07-30 17:54:56 INFO     | DexSniper            |   Total invested: 0.0 BSC
2026-07-30 17:54:56 INFO     | DexSniper            | ==================================================
2026-07-30 17:54:56 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-30 17:55:19 INFO     | DexSniper            | ⏹️  Shutdown signal received.
2026-07-30 17:55:19 INFO     | DexSniper            | ==================================================
2026-07-30 17:55:19 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-30 17:55:19 INFO     | DexSniper            |   Runtime: 0:00:22.804002
2026-07-30 17:55:19 INFO     | DexSniper            |   Pairs detected: 0
2026-07-30 17:55:19 INFO     | DexSniper            |   Scams filtered: 0
2026-07-30 17:55:19 INFO     | DexSniper            |   Trades executed: 0
2026-07-30 17:55:19 INFO     | DexSniper            |   Total invested: 0.0 BSC
2026-07-30 17:55:19 INFO     | DexSniper            | ==================================================
2026-07-30 17:56:09 WARNING  | DexSniper            | AI client disabled — no valid API key.
2026-07-30 17:56:10 INFO     | DexSniper            | Connected to chain 56 via https://bsc-dataseed.binance.org...
2026-07-30 17:56:10 INFO     | DexSniper            | Factory contract loaded: 0xcA143Ce3...
2026-07-30 17:56:10 INFO     | DexSniper            | =======================================================
2026-07-30 17:56:10 INFO     | DexSniper            | 🚀 DEX Sniper STARTED
2026-07-30 17:56:10 INFO     | DexSniper            |    Chain: BSC
2026-07-30 17:56:10 INFO     | DexSniper            |    Factory: 0xcA143Ce32Fe78...
2026-07-30 17:56:10 INFO     | DexSniper            |    Buy amount: 0.05 BSC
2026-07-30 17:56:10 INFO     | DexSniper            |    TP: 20.00%
2026-07-30 17:56:10 INFO     | DexSniper            |    AI scam filter: ON
2026-07-30 17:56:10 INFO     | DexSniper            | =======================================================
