2026-07-31 00:55:18 INFO     | DexSniper            | AI: RouterAI ready (complex: deepseek/deepseek-chat, fast: openai/gpt-4o-mini)
2026-07-31 00:55:18 INFO     | DexSniper            | AI: Ollama ready (model: llama3.2:1b)
2026-07-31 00:55:19 INFO     | DexSniper            | Connected to chain 56 via https://bsc-dataseed.binance.org...
2026-07-31 00:55:19 INFO     | DexSniper            | Factory contract loaded: 0xcA143Ce3...
2026-07-31 00:55:19 INFO     | DexSniper            | =======================================================
2026-07-31 00:55:19 INFO     | DexSniper            | 🚀 DEX Sniper STARTED
2026-07-31 00:55:19 INFO     | DexSniper            |    Chain: BSC
2026-07-31 00:55:19 INFO     | DexSniper            |    Factory: 0xcA143Ce32Fe78...
2026-07-31 00:55:19 INFO     | DexSniper            |    Buy amount: 0.05 BSC
2026-07-31 00:55:19 INFO     | DexSniper            |    TP: 20.00%
2026-07-31 00:55:19 INFO     | DexSniper            |    AI scam filter: ON
2026-07-31 00:55:19 INFO     | DexSniper            | =======================================================
2026-07-31 00:55:20 INFO     | DexSniper            | ==================================================
2026-07-31 00:55:20 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 00:55:20 INFO     | DexSniper            |   Runtime: 0:00:00.412377
2026-07-31 00:55:20 INFO     | DexSniper            |   Pairs detected: 0
2026-07-31 00:55:20 INFO     | DexSniper            |   Scams filtered: 0
2026-07-31 00:55:20 INFO     | DexSniper            |   Trades executed: 0
2026-07-31 00:55:20 INFO     | DexSniper            |   Total invested: 0.0 BSC
2026-07-31 00:55:20 INFO     | DexSniper            | ==================================================
2026-07-31 00:55:20 INFO     | DexSniper            | ⏰ Sleeping 30s...
2026-07-31 00:55:50 INFO     | DexSniper            | ==================================================
2026-07-31 00:55:50 INFO     | DexSniper            |   📊 DEX SNIPER STATS
2026-07-31 00:55:50 INFO     | DexSniper            |   Runtime: 0:00:30.690860
2026-07-31 00:55:50 INFO     | DexSniper            |   Pairs detected: 0
2026-07-31 00:55:50 INFO     | DexSniper            |   Scams filtered: 0
2026-07-31 00:55:50 INFO     | DexSniper            |   Trades executed: 0
2026-07-31 00:55:50 INFO     | DexSniper            |   Total invested: 0.0 BSC
